country,code,var,var_code,pop_2050
United Kingdom,GBR,"Population, total",SP.POP.TOTL,70703608
United States,USA,"Population, total",SP.POP.TOTL,367835520
Uruguay,URY,"Population, total",SP.POP.TOTL,3337143
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,46812812
Vanuatu,VUT,"Population, total",SP.POP.TOTL,578567
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,35937404
Viet Nam,VNM,"Population, total",SP.POP.TOTL,107012939
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,82792
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,8471025
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,55296331
Zambia,ZMB,"Population, total",SP.POP.TOTL,37460435
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,26438589
